,Fecha,Evento,Categoría,Lugar,Dirección,Aforo,Población,C. postal,Provincia,Audiencia,Precio,Horario
,03/10/2008,Léa Nath. Infortunios y Venturas. Fotografía,EXHIBITIONS,Centro Cultural Isabel de Farnesio,"Calle del Capitán Angosto Gómez Castrillón, 39",6351,"Cortijo De San Isidro, El",28300,Madrid,Todos los publicos,,17:00 - 21:00
,30/09/2010,El Tren de Felipe II,GUIDED_VISIT,Estación de Príncipe Pío,"Paseo de La Florida, 2",4195,Madrid,28008,Madrid,Todos los publicos,El precio oscila entre los 15 € para menores de ...,A Consultar
,02/03/2017,Bonsáis. Colección Miguel Ángel Medina,EXHIBITIONS,Museo de la Ciudad de Móstoles,"C/ Andrés Torrejón, 5",8853,Mostoles,28931,Madrid,Todos los publicos,Gratuito,"La exposición podrá visitarse, de forma gratuita..."
,01/01/2018,Museo Nacional del Prado de Madrid: Sin Colas,EXHIBITIONS,Museo Nacional del Prado de Madrid,"Paseo del Prado, s/n",5883,Madrid,28014,Madrid,,Desde 15 €,"De lunes a sábado: 10:00 - 20:00, Domingos y fest..."
,03/01/2018,Dorothea Tanning,EXHIBITIONS,Museo Nacional Centro de Arte Reina Sofía Edifici...,"Calle de Santa Isabel, 52",5656,Madrid,28012,Madrid,Todos los publicos,Entrada individual general 8 € + GastosTaquillas...,L y X a S de 10 a 21 H. D de 10 a 14.15 H
,06/01/2018,Rubén Ramos Nogueira. Gibbons Amateur,MUSIC,Teatros del Canal,"Calle de Cea Bermúdez, 1",258,Madrid,28003,Madrid,Todos los publicos,Desde 10 €,Jueves y viernes - 19.00 hDomingo - 18.00h
,12/01/2018,Taller Joven de Creación Literaria y Edición: De la Idea a la Publicación,CHILDREN_ACTIVITIES,Casa del Lector,"Paseo Chopera, 14",3720,Madrid,28045,Madrid,Mayores de 14 años,200 € (incluye todo el material teórico y 2 eje...,N/A
,13/01/2018,Rodrigo García Con Juan Loriente Y Gonzalo Cunill,SHOW,Teatros del Canal,"Calle de Cea Bermúdez, 1",7825,Madrid,28003,Madrid,Todos los publicos,Desde 10 €,20:00 // 13 ene 18:30
,04/03/2018,Whitney - Queen Of The Night,SHOW,Teatro Rialto,"Calle Gran Vía, 54",7362,Madrid,28013,Madrid,Todos los publicos,Desde 27 €,21:00
,10/03/2018,Completando Territorios,CHILDREN_ACTIVITIES,CentroCentro Cibeles,"Plaza Cibeles, 1",2308,Madrid,28014,Madrid,Todos los publicos,Gratuito,10:00 - 20:00
